zip_code,foreclosure_notices_mean,foreclosure_notices_std,foreclosure_notices_max,foreclosure_notices_trend,ev_registrations_mean,ev_registrations_std,ev_registrations_max,ev_registrations_trend,sewer_overflow_incidents_mean,sewer_overflow_incidents_std,sewer_overflow_incidents_max,sewer_overflow_incidents_trend,n_quarters,dbscan_cluster
21205,44.416666666666664,17.510819166412173,79,2.199300699300699,149.41666666666666,52.66438909536385,251,14.276223776223777,0.75,0.621581560508061,2,0.01048951048951049,12,0
21206,374.25,47.51483022077519,453,10.472027972027972,643.4166666666666,246.18376666566982,1029,67.5,5.083333333333333,2.7122058561364044,10,-0.01748251748251748,12,-1
21207,309.6666666666667,50.30151512869591,384,10.86013986013986,841.1666666666666,327.34825306984425,1318,89.97202797202796,3.5833333333333335,3.058767824804721,8,-0.15734265734265734,12,-1
21208,122.25,18.733174268708925,150,3.6538461538461537,2028.1666666666667,537.9954094656018,2861,149.05594405594402,0.9166666666666666,0.9962049198956219,3,0.07342657342657344,12,0
21209,31.833333333333332,9.369518599580172,43,1.881118881118881,1751.9166666666667,458.9601801569467,2449,127.1923076923077,3.0,3.4377582547616425,12,0.4405594405594406,12,-1
21210,8.166666666666666,3.927370930309795,16,0.7062937062937065,1284.6666666666667,262.2713145279949,1666,72.62937062937061,2.3333333333333335,2.309401076758503,8,0.25874125874125875,12,0
21211,28.666666666666668,6.4713822232030065,41,0.9650349650349651,937.0,227.75824503586733,1300,62.83216783216783,2.4166666666666665,1.6764862244009227,6,0.33216783216783213,12,0
21212,103.66666666666667,15.023214359682477,125,3.377622377622378,1667.9166666666667,406.3899735550332,2305,112.56993006993007,2.3333333333333335,1.556997888323046,5,0.2867132867132867,12,0
21213,227.91666666666666,45.70947451684454,286,11.590909090909092,397.25,209.42524159752523,693,57.17832167832168,1.6666666666666667,1.9227505550564008,6,0.34965034965034963,12,-1
21214,170.0,26.890349739096166,214,6.111888111888112,506.8333333333333,181.76249904918794,799,49.832167832167826,0.9166666666666666,1.7298624923456323,6,0.24825174825174823,12,-1
21215,300.0833333333333,33.96109628098099,371,8.409090909090908,745.3333333333334,316.5577165048861,1266,85.98601398601397,5.166666666666667,4.529365464957704,16,0.888111888111888,12,-1
21216,195.08333333333334,42.31582195679043,278,10.101398601398602,254.25,136.17777485197928,470,36.26923076923077,5.166666666666667,3.128558579902059,10,0.5874125874125874,12,-1
21217,113.0,19.521549863955705,145,3.7132867132867133,547.9166666666666,177.59272012789327,806,48.94055944055944,4.083333333333333,3.553700589355817,11,0.7097902097902097,12,-1
21218,176.33333333333334,36.54221303278352,232,8.916083916083917,1171.25,342.4906435351058,1693,94.43006993006992,3.1666666666666665,1.8989630344113089,7,0.36363636363636365,12,-1
21219,34.833333333333336,3.9733963794062626,41,0.26573426573426573,270.0,62.669406774394695,350,17.027972027972027,0.3333333333333333,0.6513389472789297,2,-0.05594405594405595,12,0
21220,197.08333333333334,32.44143908178196,248,7.353146853146853,1164.25,378.43916888379107,1752,104.35314685314684,2.0833333333333335,1.5642792899510294,5,0.045454545454545456,12,0
21221,182.33333333333334,29.85825097883584,214,6.531468531468532,758.4166666666666,222.66503923375512,1080,61.49300699300699,0.6666666666666666,0.9847319278346618,3,-0.055944055944055944,12,0
21222,290.5,53.40667305939143,404,12.552447552447552,737.75,263.24137730849367,1096,72.5909090909091,1.5833333333333333,1.3113721705515065,5,0.14335664335664336,12,-1
21223,95.66666666666667,24.33603139878037,144,5.104895104895105,190.25,86.26821283331738,328,23.716783216783217,3.0,2.860387767736777,9,0.5944055944055944,12,-1
21224,151.91666666666666,29.898185817061133,193,5.891608391608392,1856.9166666666667,447.54755122339856,2561,123.54895104895104,5.333333333333333,4.141438777950865,12,0.2797202797202797,12,-1
21225,142.0,26.22975409720801,186,5.881118881118881,334.8333333333333,148.62388975551877,597,40.62237762237763,1.0,1.4142135623730951,4,-0.06993006993006992,12,0
21226,31.333333333333332,8.804268937007292,47,0.8251748251748251,165.33333333333334,46.20573229556802,218,12.552447552447552,5.583333333333333,4.14418175569586,15,0.6678321678321678,12,-1
21227,116.25,18.00063130206069,142,2.472027972027972,659.6666666666666,189.55705945144533,934,52.37762237762238,1.5833333333333333,2.02072594216369,7,0.08041958041958044,12,0
21228,107.08333333333333,17.20707218946132,130,3.0944055944055946,2224.1666666666665,559.0769719869176,2995,154.71328671328675,2.9166666666666665,2.5030284687057627,9,0.13636363636363638,12,-1
21229,300.3333333333333,58.21485804302623,402,14.272727272727272,669.4166666666666,259.5995021473491,1044,71.25524475524476,5.416666666666667,2.778434265858556,11,0.3041958041958041,12,-1
21230,116.5,18.88000385207973,157,3.0069930069930066,2134.5833333333335,480.10178056009096,2778,132.520979020979,3.9166666666666665,2.5030284687057627,8,0.541958041958042,12,-1
21231,29.583333333333332,8.382431122004613,45,1.695804195804196,830.8333333333334,174.83490047539826,1050,48.02797202797203,0.9166666666666666,1.7816403745544227,6,0.26223776223776224,12,0
21233,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12,0
21234,243.75,31.94633283834282,295,7.2832167832167825,1400.5833333333333,406.8310925664211,2031,112.56293706293707,2.3333333333333335,2.0150945537631877,6,0.034965034965034975,12,0
21235,0.0,0.0,0,0.0,3.0,0.0,3,0.0,0.0,0.0,0,0.0,12,0
21236,111.33333333333333,19.987875112556395,145,3.867132867132867,875.0833333333334,301.32720310873583,1341,83.03846153846153,1.5833333333333333,1.4433756729740645,4,-0.06643356643356643,12,0
21237,134.91666666666666,30.074024833682792,180,7.520979020979022,793.8333333333334,239.23318154368792,1162,66.06993006993007,1.1666666666666667,1.5859229221975182,4,-0.020979020979020976,12,0
